Parameters,Name,Value,Notes
Number of life stages,Nstage,9,
Adult capacity,k,18000,
Spawn events per female,events,1,
Eggs per female spawn,eps,4000,"(5,122 McIsaac, D.O., PhD thesis U of W)"
spawning interval,int,1,
egg survival,SE,0.1,"(65.3% McIsaac, D.O., PhD thesis U of W)"
hatchling survival,S0,0.2,
sex ratio,SR,0.5,
Fry Survival,surv_1,0.3,
Parr NR Survival,surv_2,0.35,
Parr TR Survival,surv_3,0.35,
Parr FR Survival,surv_4,0.35,
Smolt NR Survival,surv_5,0.4,
Smolt TR Survival,surv_6,0.4,
Smolt FR Survival,surv_7,0.4,
Ocean Adult Survival,surv_8,0.05,
Spawner Survival,surv_9,0.95,
Years as Fry,year_1,1,
Years as Parr NR,year_2,1,
Years as Parr TR,year_3,1,
Years as Parr FR,year_4,1,
Years as Smolt NR,year_5,1,
Years as Smolt TR,year_6,1,
Years as Smolt FR,year_7,1,
Years as Ocean Adult,year_8,1,
Years as Spawner,year_9,1,
egg survival compensation ratio,cr_E,1,
yoy survival compensation ratio,cr_0,3,
fry survival compensation ratio,cr_1,3,
parr NR survival compensation ratio,cr_2,2.5,
parr TR survival compensation ratio,cr_3,2.5,
parr FR survival compensation ratio,cr_4,2.5,
smolt NR survival compensation ratio,cr_5,2,
smolt TR survival compensation ratio,cr_6,2,
smolt FR survival compensation ratio,cr_7,2,
ocean adult survival compensation ratio,cr_8,1.1,
spawner survival compensation ratio,cr_9,1,
,mat_1,0,
,mat_2,0,
,mat_3,0,
,mat_4,0,
,mat_5,0,
,mat_6,0,
,mat_7,0,
,mat_8,0,
maturity as adult,mat_9,1,
variance in eggs per female,eps_sd,5.00E+02,
correlation in egg fecundity through time,egg_rho,1.00E-01,
coefficient of variation in stage-specific mortality,M.cv,2.00E-02,
correlation in mortality through time,M.rho,1.00E-01,
